arsitektur,nms_free,dimensi,kelompok,recall_maks,ap50,mr2,n_gt,iou_cocok,nms_iou
yolov10n,ya,oklusi,terlihat penuh,0.9198,0.8344,0.6356,62881,0.5,0.7
yolov10n,ya,oklusi,teroklusi sebagian,0.9034,0.7783,0.5348,22382,0.5,0.7
yolov10n,ya,oklusi,teroklusi berat,0.9276,0.7482,0.5443,14218,0.5,0.7
yolov10n,ya,ukuran,besar (dekat),0.9238,0.8193,0.659,52697,0.5,0.7
yolov10n,ya,ukuran,sedang,0.9277,0.7979,0.5734,36528,0.5,0.7
yolov10n,ya,ukuran,kecil (jauh),0.8246,0.5187,0.7376,10256,0.5,0.7
yolov10n,ya,pemotongan,utuh dalam bingkai,0.9456,0.8534,0.5263,84284,0.5,0.7
yolov10n,ya,pemotongan,terpotong tepi,0.7445,0.5695,0.7052,15197,0.5,0.7
yolov10n,ya,oklusi murni,terlihat penuh (utuh),0.9597,0.8966,0.3842,51549,0.5,0.7
yolov10n,ya,oklusi murni,teroklusi sebagian (utuh),0.9234,0.7974,0.4974,19784,0.5,0.7
yolov10n,ya,oklusi murni,teroklusi berat (utuh),0.9395,0.7511,0.5368,12951,0.5,0.7
yolov11n,tidak,oklusi,terlihat penuh,0.908,0.833,0.6277,62881,0.5,0.7
yolov11n,tidak,oklusi,teroklusi sebagian,0.8917,0.7794,0.5216,22382,0.5,0.7
yolov11n,tidak,oklusi,teroklusi berat,0.9162,0.7491,0.5347,14218,0.5,0.7
yolov11n,tidak,ukuran,besar (dekat),0.9153,0.8164,0.6644,52697,0.5,0.7
yolov11n,tidak,ukuran,sedang,0.9102,0.8001,0.546,36528,0.5,0.7
yolov11n,tidak,ukuran,kecil (jauh),0.7926,0.5369,0.7034,10256,0.5,0.7
yolov11n,tidak,pemotongan,utuh dalam bingkai,0.9326,0.8536,0.5012,84284,0.5,0.7
yolov11n,tidak,pemotongan,terpotong tepi,0.7246,0.5607,0.712,15197,0.5,0.7
yolov11n,tidak,oklusi murni,terlihat penuh (utuh),0.9493,0.8971,0.3484,51549,0.5,0.7
yolov11n,tidak,oklusi murni,teroklusi sebagian (utuh),0.913,0.8002,0.4793,19784,0.5,0.7
yolov11n,tidak,oklusi murni,teroklusi berat (utuh),0.9297,0.7537,0.5251,12951,0.5,0.7
yolo26n,ya,oklusi,terlihat penuh,0.9187,0.8351,0.635,62881,0.5,0.7
yolo26n,ya,oklusi,teroklusi sebagian,0.9012,0.7785,0.5388,22382,0.5,0.7
yolo26n,ya,oklusi,teroklusi berat,0.9214,0.7423,0.5473,14218,0.5,0.7
yolo26n,ya,ukuran,besar (dekat),0.923,0.8166,0.664,52697,0.5,0.7
yolo26n,ya,ukuran,sedang,0.9238,0.7957,0.5745,36528,0.5,0.7
yolo26n,ya,ukuran,kecil (jauh),0.8217,0.5427,0.7138,10256,0.5,0.7
yolo26n,ya,pemotongan,utuh dalam bingkai,0.9431,0.852,0.5273,84284,0.5,0.7
yolo26n,ya,pemotongan,terpotong tepi,0.7438,0.567,0.7073,15197,0.5,0.7
yolo26n,ya,oklusi murni,terlihat penuh (utuh),0.9585,0.8981,0.3775,51549,0.5,0.7
yolo26n,ya,oklusi murni,teroklusi sebagian (utuh),0.9209,0.7987,0.5004,19784,0.5,0.7
yolo26n,ya,oklusi murni,teroklusi berat (utuh),0.9334,0.7452,0.5399,12951,0.5,0.7
yolo26s,ya,oklusi,terlihat penuh,0.9303,0.8644,0.6,62881,0.5,0.7
yolo26s,ya,oklusi,teroklusi sebagian,0.9205,0.8337,0.4513,22382,0.5,0.7
yolo26s,ya,oklusi,teroklusi berat,0.9334,0.8004,0.4678,14218,0.5,0.7
yolo26s,ya,ukuran,besar (dekat),0.9267,0.8393,0.6391,52697,0.5,0.7
yolo26s,ya,ukuran,sedang,0.9408,0.8516,0.4853,36528,0.5,0.7
yolo26s,ya,ukuran,kecil (jauh),0.8762,0.6635,0.609,10256,0.5,0.7
yolo26s,ya,pemotongan,utuh dalam bingkai,0.9584,0.8952,0.4524,84284,0.5,0.7
yolo26s,ya,pemotongan,terpotong tepi,0.7495,0.5863,0.6944,15197,0.5,0.7
yolo26s,ya,oklusi murni,terlihat penuh (utuh),0.9717,0.9309,0.3021,51549,0.5,0.7
yolo26s,ya,oklusi murni,teroklusi sebagian (utuh),0.9417,0.8576,0.4016,19784,0.5,0.7
yolo26s,ya,oklusi murni,teroklusi berat (utuh),0.9459,0.8074,0.4562,12951,0.5,0.7
