arsitektur,nms_free,dimensi,kelompok,recall_maks,ap50,mr2,n_gt
yolov10n,ya,oklusi,terlihat penuh,0.9108,0.8312,0.608,6314
yolov10n,ya,oklusi,teroklusi sebagian,0.9162,0.8078,0.4621,2171
yolov10n,ya,oklusi,teroklusi berat,0.9463,0.8057,0.4489,1433
yolov10n,ya,ukuran,besar (dekat),0.9196,0.8153,0.6725,6372
yolov10n,ya,ukuran,sedang,0.929,0.8072,0.511,2985
yolov10n,ya,ukuran,kecil (jauh),0.8075,0.433,0.7104,561
yolov10n,ya,pemotongan,utuh dalam bingkai,0.9558,0.8732,0.4702,8053
yolov10n,ya,pemotongan,terpotong tepi,0.7432,0.5623,0.7234,1865
yolov10n,ya,oklusi murni,terlihat penuh (utuh),0.9627,0.9092,0.3404,4936
yolov10n,ya,oklusi murni,teroklusi sebagian (utuh),0.9387,0.8268,0.4236,1861
yolov10n,ya,oklusi murni,teroklusi berat (utuh),0.9626,0.8158,0.422,1256
yolov11n,tidak,oklusi,terlihat penuh,0.8969,0.8287,0.6081,6314
yolov11n,tidak,oklusi,teroklusi sebagian,0.8982,0.8045,0.4566,2171
yolov11n,tidak,oklusi,teroklusi berat,0.9204,0.7856,0.46,1433
yolov11n,tidak,ukuran,besar (dekat),0.9079,0.8108,0.6823,6372
yolov11n,tidak,ukuran,sedang,0.8975,0.8018,0.485,2985
yolov11n,tidak,ukuran,kecil (jauh),0.7701,0.4326,0.7039,561
yolov11n,tidak,pemotongan,utuh dalam bingkai,0.9393,0.8729,0.4356,8053
yolov11n,tidak,pemotongan,terpotong tepi,0.7174,0.5446,0.7396,1865
yolov11n,tidak,oklusi murni,terlihat penuh (utuh),0.9508,0.9083,0.2998,4936
yolov11n,tidak,oklusi murni,teroklusi sebagian (utuh),0.9242,0.8283,0.4131,1861
yolov11n,tidak,oklusi murni,teroklusi berat (utuh),0.9371,0.7984,0.4331,1256
yolo26n,ya,oklusi,terlihat penuh,0.9116,0.8338,0.6161,6314
yolo26n,ya,oklusi,teroklusi sebagian,0.9093,0.8024,0.4727,2171
yolo26n,ya,oklusi,teroklusi berat,0.9295,0.7959,0.4439,1433
yolo26n,ya,ukuran,besar (dekat),0.9175,0.8141,0.6757,6372
yolo26n,ya,ukuran,sedang,0.9209,0.8035,0.5197,2985
yolo26n,ya,ukuran,kecil (jauh),0.8075,0.4566,0.6907,561
yolo26n,ya,pemotongan,utuh dalam bingkai,0.9513,0.8722,0.4769,8053
yolo26n,ya,pemotongan,terpotong tepi,0.7426,0.5617,0.724,1865
yolo26n,ya,oklusi murni,terlihat penuh (utuh),0.9633,0.9123,0.3354,4936
yolo26n,ya,oklusi murni,teroklusi sebagian (utuh),0.9328,0.8289,0.4175,1861
yolo26n,ya,oklusi murni,teroklusi berat (utuh),0.9443,0.8034,0.4284,1256
yolo26s,ya,oklusi,terlihat penuh,0.9222,0.8576,0.5789,6314
yolo26s,ya,oklusi,teroklusi sebagian,0.9222,0.8471,0.3908,2171
yolo26s,ya,oklusi,teroklusi berat,0.9456,0.8367,0.3847,1433
yolo26s,ya,ukuran,besar (dekat),0.922,0.8335,0.6552,6372
yolo26s,ya,ukuran,sedang,0.9414,0.8616,0.4152,2985
yolo26s,ya,ukuran,kecil (jauh),0.8574,0.58,0.5847,561
yolo26s,ya,pemotongan,utuh dalam bingkai,0.9642,0.9081,0.4158,8053
yolo26s,ya,pemotongan,terpotong tepi,0.7517,0.5813,0.7106,1865
yolo26s,ya,oklusi murni,terlihat penuh (utuh),0.9735,0.9382,0.2709,4936
yolo26s,ya,oklusi murni,teroklusi sebagian (utuh),0.949,0.874,0.3453,1861
yolo26s,ya,oklusi murni,teroklusi berat (utuh),0.9602,0.8491,0.3547,1256
