model,weights,resolusi,fps,deteksi_rata2
yolov10n,runs/detect/yolo10_crowdhuman/weights/best.pt,256,364.63,33
yolov10n,runs/detect/yolo10_crowdhuman/weights/best.pt,320,362.49,50.4
yolov10n,runs/detect/yolo10_crowdhuman/weights/best.pt,416,343.86,88
yolov10n,runs/detect/yolo10_crowdhuman/weights/best.pt,480,330.9,91.2
yolov10n,runs/detect/yolo10_crowdhuman/weights/best.pt,512,316.5,106.2
yolov10n,runs/detect/yolo10_crowdhuman/weights/best.pt,640,287.26,153.2
yolov11n,runs/detect/yolo11_crowdhuman/weights/best.pt,256,341.72,57
yolov11n,runs/detect/yolo11_crowdhuman/weights/best.pt,320,333.71,90.4
yolov11n,runs/detect/yolo11_crowdhuman/weights/best.pt,416,307.89,133.4
yolov11n,runs/detect/yolo11_crowdhuman/weights/best.pt,480,282.91,145.6
yolov11n,runs/detect/yolo11_crowdhuman/weights/best.pt,512,282.98,165.8
yolov11n,runs/detect/yolo11_crowdhuman/weights/best.pt,640,268.95,197.2
yolo26n,runs/detect/yolo_crowdhuman/weights/best.pt,256,320.41,41.4
yolo26n,runs/detect/yolo_crowdhuman/weights/best.pt,320,296.02,79.8
yolo26n,runs/detect/yolo_crowdhuman/weights/best.pt,416,290.57,100
yolo26n,runs/detect/yolo_crowdhuman/weights/best.pt,480,278.45,117
yolo26n,runs/detect/yolo_crowdhuman/weights/best.pt,512,275.27,121.8
yolo26n,runs/detect/yolo_crowdhuman/weights/best.pt,640,253.99,167
yolo26s,runs/detect/yolo_crowdhuman_small/weights/best.pt,256,300.42,78.6
yolo26s,runs/detect/yolo_crowdhuman_small/weights/best.pt,320,297.03,92.2
yolo26s,runs/detect/yolo_crowdhuman_small/weights/best.pt,416,280.58,140.4
yolo26s,runs/detect/yolo_crowdhuman_small/weights/best.pt,480,269.15,166.4
yolo26s,runs/detect/yolo_crowdhuman_small/weights/best.pt,512,279.55,188
yolo26s,runs/detect/yolo_crowdhuman_small/weights/best.pt,640,250.74,199
