frame_index,person_count,latency_ms,fps_instant
0,13,109.953,9.00
1,12,18.763,50.38
2,13,19.278,49.28
3,12,18.219,52.21
4,15,19.315,48.68
5,15,17.242,54.21
6,14,17.817,52.90
7,11,18.843,50.60
8,15,17.408,53.65
9,14,17.996,52.27
10,12,16.987,55.15
11,13,17.726,53.26
12,13,21.173,44.01
13,15,17.387,53.93
14,12,16.654,56.66
15,12,18.876,50.02
16,13,18.681,50.55
17,12,21.177,45.11
18,14,16.708,56.02
19,11,18.124,52.43
20,13,17.799,53.17
21,14,17.773,53.02
22,13,16.576,56.52
23,13,17.366,54.27
24,10,24.351,39.53
25,14,31.003,31.17
26,12,17.116,55.12
27,12,17.127,55.10
28,13,17.670,53.35
29,15,17.370,53.83
30,13,20.068,46.36
31,13,17.280,54.55
32,11,17.433,54.40
33,10,16.706,56.75
34,12,17.817,53.05
35,12,17.734,52.86
36,13,17.067,55.21
37,13,17.120,55.12
38,14,17.462,53.42
39,15,17.706,52.94
40,16,17.300,53.85
41,15,18.175,51.63
42,14,18.003,52.31
43,13,22.595,41.34
44,11,18.067,52.77
45,8,17.883,53.71
46,10,19.494,49.18
47,11,18.306,52.03
48,12,28.529,33.88
49,11,17.126,55.36
50,15,17.137,54.39
51,13,18.290,51.71
52,8,20.123,47.30
53,9,16.753,56.98
54,9,16.759,57.10
55,9,17.778,53.80
56,12,17.582,53.25
57,10,18.521,51.53
58,13,16.976,55.52
59,11,17.916,53.16
60,11,18.095,52.58
61,11,17.792,53.21
62,9,19.096,50.21
63,12,18.146,52.38
64,12,17.823,53.13
65,15,17.325,53.71
66,12,18.798,50.26
67,13,18.180,52.03
68,10,28.831,33.22
69,13,22.709,41.21
70,11,35.841,25.46
71,10,24.191,39.38
72,12,17.986,51.76
73,12,22.373,40.00
74,12,18.461,50.52
75,12,30.481,31.47
76,13,26.616,35.62
77,12,32.512,29.59
78,12,31.762,30.24
79,10,26.336,36.48
80,10,27.132,35.47
81,9,31.361,30.90
82,12,29.487,32.54
83,9,29.324,32.96
84,11,30.048,32.09
85,12,32.961,29.17
86,15,35.532,26.97
87,16,29.742,31.92
88,12,25.833,36.95
89,13,30.894,31.03
90,14,29.561,32.33
91,16,33.425,28.20
92,18,38.216,24.97
93,16,32.947,28.74
94,14,35.484,27.10
95,16,29.294,32.69
96,14,32.753,28.29
97,14,23.226,40.37
98,12,27.747,34.51
99,12,22.841,40.89
100,14,22.301,34.66
101,13,30.691,31.16
102,15,31.169,30.59
103,13,28.229,33.78
104,15,25.189,37.18
105,11,32.646,29.54
106,13,25.698,37.04
107,11,19.453,47.84
108,12,30.606,31.37
109,9,34.222,28.39
110,14,29.810,31.99
111,15,30.498,31.17
112,14,48.509,18.17
113,13,19.602,47.55
114,13,29.086,31.83
115,11,27.781,34.49
116,10,32.428,29.88
117,9,23.254,40.94
118,10,36.245,26.63
119,14,21.096,43.65
120,14,22.304,41.71
121,15,25.078,37.37
122,16,22.863,39.98
123,13,17.038,55.41
124,16,19.164,47.06
125,16,16.930,55.13
126,13,17.541,53.80
127,14,16.677,56.05
128,11,17.479,54.35
129,15,17.961,52.12
130,12,17.376,54.49
131,9,23.755,39.76
132,8,20.609,46.34
133,12,17.144,55.24
134,11,16.989,55.65
135,11,17.214,55.21
136,11,17.170,55.39
137,11,17.192,55.19
138,13,16.636,56.59
139,13,16.450,57.23
140,10,17.433,54.79
141,11,17.038,55.65
142,12,16.978,55.80
143,11,16.298,58.12
144,11,17.534,54.29
145,12,19.018,50.08
146,14,16.878,55.53
147,13,22.033,43.34
148,12,16.048,58.77
149,12,18.461,51.30
150,13,15.997,58.79
151,11,16.925,56.07
152,14,16.702,55.82
153,14,17.362,54.18
154,13,33.346,28.44
155,11,16.883,56.22
156,15,17.255,54.19
157,16,16.793,55.52
158,11,17.230,55.19
159,12,17.920,52.87
160,14,18.126,51.82
161,12,16.831,55.90
162,12,17.167,54.85
163,13,17.597,53.65
164,13,16.795,55.90
165,12,17.939,51.10
166,13,16.451,57.26
167,10,17.200,55.48
168,15,16.850,55.49
169,12,16.607,56.93
170,14,17.007,54.66
171,14,17.572,53.63
172,13,16.912,55.75
173,12,16.694,56.61
174,15,16.493,56.73
175,11,17.312,54.79
176,10,25.145,37.76
177,9,17.048,56.05
178,11,16.451,57.67
179,12,18.018,52.54
180,11,17.921,52.95
181,14,17.856,52.77
182,13,16.374,56.94
183,11,17.661,53.70
184,9,16.034,59.41
185,11,16.430,57.75
186,10,17.138,55.55
187,9,18.067,52.71
188,10,19.070,50.12
189,11,18.270,51.95
190,15,15.794,58.95
191,15,19.202,48.85
192,14,19.498,48.11
193,14,17.503,53.39
194,13,16.428,57.03
195,15,16.472,56.51
196,9,16.912,56.35
197,13,16.711,56.32
198,12,17.100,55.14
199,12,18.511,51.27
