frame_index,person_count,latency_ms,fps_instant
0,12,2516.682,0.39
1,13,75.477,12.57
2,11,70.484,13.35
3,13,59.506,15.59
4,12,35.603,27.05
5,16,56.710,16.54
6,15,62.383,14.25
7,13,64.408,13.40
8,13,51.525,17.88
9,15,24.932,37.57
10,16,28.636,33.05
11,13,24.416,38.64
12,12,17.335,53.69
13,15,22.902,39.50
14,12,27.047,35.28
15,12,22.821,41.56
16,12,15.787,58.57
17,13,22.407,41.46
18,14,29.606,31.83
19,11,32.313,29.52
20,12,35.548,26.93
21,13,20.364,45.44
22,13,33.419,28.29
23,11,15.516,60.25
24,13,16.732,55.00
25,13,17.831,52.47
26,11,15.552,60.43
27,11,15.274,61.76
28,11,16.405,57.52
29,15,15.520,59.63
30,14,15.110,61.19
31,9,15.487,61.43
32,10,15.645,59.68
33,11,15.468,60.95
34,11,15.541,60.38
35,13,15.604,59.95
36,13,15.027,62.01
37,10,15.329,61.88
38,12,15.421,60.18
39,14,15.917,58.23
40,13,16.006,58.57
41,14,15.753,58.92
42,15,15.826,58.55
43,11,17.244,53.63
44,11,15.826,59.81
45,8,15.387,61.93
46,10,15.626,60.31
47,11,17.506,52.78
48,14,16.146,57.89
49,12,15.356,60.97
50,14,15.567,59.81
51,11,15.918,59.11
52,10,16.044,58.92
53,10,15.976,59.48
54,10,15.564,61.00
55,12,17.867,52.94
56,13,19.209,48.83
57,14,15.446,60.09
58,13,15.419,60.37
59,12,15.888,58.83
60,12,16.362,57.43
61,14,15.298,60.89
62,11,16.365,57.57
63,12,15.611,60.07
64,13,15.996,58.34
65,13,15.444,60.58
66,12,16.907,54.60
67,12,16.000,58.71
68,10,15.893,59.16
69,11,15.670,59.94
70,11,18.157,51.31
71,11,15.362,61.12
72,11,17.140,54.53
73,12,16.608,55.27
74,11,15.425,60.57
75,12,15.396,61.05
76,13,15.207,61.41
77,10,17.842,53.11
78,12,16.276,57.47
79,12,15.933,59.14
80,11,15.586,60.51
81,9,15.827,59.81
82,13,16.078,58.19
83,11,15.633,60.13
84,14,15.322,60.84
85,10,15.111,62.43
86,13,16.773,55.93
87,15,15.412,60.33
88,11,16.412,57.70
89,12,27.366,34.74
90,14,15.808,59.25
91,16,15.690,58.91
92,16,16.697,54.15
93,11,15.233,61.82
94,12,15.956,59.06
95,17,15.484,59.29
96,13,16.316,55.98
97,14,16.248,57.58
98,13,19.642,41.65
99,11,17.329,54.75
100,12,15.690,60.03
101,14,15.529,60.04
102,14,15.847,58.92
103,11,17.865,52.22
104,11,15.814,59.93
105,11,15.790,59.10
106,13,15.847,59.10
107,13,15.229,61.47
108,10,15.306,61.76
109,8,15.324,62.02
110,14,15.529,60.24
111,10,17.027,54.79
112,15,15.649,59.55
113,14,15.160,61.34
114,13,14.994,61.97
115,10,14.757,64.16
116,11,15.839,59.56
117,11,15.742,59.86
118,11,15.123,62.49
119,12,15.068,62.25
120,11,15.011,62.51
121,11,15.340,61.21
122,14,16.998,53.64
123,12,15.143,61.59
124,14,15.582,60.04
125,16,14.849,62.02
126,13,16.650,56.04
127,14,15.217,60.88
128,11,16.020,58.81
129,13,15.234,61.36
130,12,15.921,58.68
131,9,15.219,62.30
132,9,15.959,59.74
133,13,19.335,47.53
134,11,18.574,50.29
135,10,15.279,61.95
136,9,15.155,62.70
137,12,15.478,60.14
138,11,15.174,61.56
139,11,15.376,61.33
140,10,17.018,46.79
141,11,17.298,53.80
142,10,17.061,55.43
143,10,15.788,59.65
144,13,15.956,58.60
145,12,15.208,61.47
146,14,15.256,60.97
147,13,15.152,61.42
148,10,15.022,62.90
149,13,14.822,63.00
150,12,15.017,62.36
151,11,15.443,60.99
152,14,14.964,61.98
153,13,14.970,62.33
154,12,16.044,58.66
155,11,20.313,45.87
156,11,16.773,56.27
157,13,15.279,61.19
158,11,15.191,61.91
159,12,15.174,61.81
160,14,16.021,58.16
161,13,15.236,61.12
162,13,15.378,60.75
163,12,15.748,59.77
164,14,15.275,60.64
165,12,15.049,61.84
166,11,15.085,62.20
167,11,15.046,62.45
168,10,15.373,61.66
169,14,15.027,61.72
170,14,15.553,59.70
171,12,15.300,61.14
172,13,15.052,62.04
173,12,14.940,62.54
174,13,15.517,60.41
175,12,15.967,58.91
176,13,15.494,60.16
177,10,15.123,61.88
178,12,17.400,48.79
179,13,15.966,58.54
180,13,15.332,60.78
181,11,15.593,60.06
182,13,15.179,61.70
183,11,15.349,61.37
184,9,15.160,62.59
185,10,14.802,63.75
186,11,17.670,53.43
187,9,16.572,57.64
188,10,15.824,59.84
189,12,15.043,62.25
190,12,15.039,62.06
191,14,15.927,58.52
192,15,16.543,55.39
193,14,15.214,60.89
194,12,14.980,62.53
195,14,15.065,60.88
196,10,15.636,60.39
197,11,15.319,61.37
198,10,15.069,62.30
199,11,14.992,62.73
