frame_index,person_count,latency_ms,fps_instant
0,14,188.432,5.27
1,13,17.014,55.19
2,12,16.359,57.36
3,14,17.078,54.57
4,13,17.890,52.75
5,13,15.910,58.79
6,13,24.187,38.87
7,13,38.228,24.86
8,12,17.269,53.65
9,13,17.900,51.29
10,15,16.497,55.58
11,14,37.540,25.06
12,14,33.721,27.81
13,13,25.621,37.08
14,13,25.334,37.43
15,12,31.307,30.68
16,13,25.931,36.63
17,14,26.770,35.48
18,15,28.055,33.58
19,16,29.907,31.76
20,14,28.956,32.88
21,13,27.511,34.70
22,11,25.676,37.30
23,13,26.723,35.53
24,12,34.552,27.89
25,14,23.871,39.54
26,12,28.055,34.13
27,13,37.188,25.90
28,13,29.781,32.12
29,15,33.156,28.94
30,13,28.943,32.55
31,11,17.950,51.47
32,11,29.775,32.39
33,11,23.593,39.90
34,11,32.382,29.69
35,12,29.739,32.13
36,10,29.087,32.76
37,11,29.491,32.56
38,12,31.162,30.71
39,14,26.015,36.48
40,13,25.627,37.01
41,13,30.787,29.72
42,14,26.483,35.81
43,14,37.414,25.49
44,10,28.712,33.49
45,8,28.658,33.86
46,10,26.620,36.08
47,9,31.615,30.56
48,13,29.159,32.73
49,11,31.197,30.85
50,12,24.683,38.55
51,10,28.250,33.97
52,9,28.884,33.12
53,9,29.793,32.18
54,9,20.317,46.88
55,11,18.316,50.31
56,13,16.972,54.56
57,10,32.758,29.32
58,13,24.322,38.64
59,13,18.974,48.49
60,10,20.302,45.16
61,12,32.009,29.73
62,9,33.128,29.48
63,12,16.779,56.33
64,13,16.652,56.11
65,14,16.795,55.34
66,12,17.366,54.54
67,12,17.116,55.16
68,10,16.364,58.12
69,13,17.076,55.23
70,11,17.974,52.60
71,11,16.730,56.42
72,11,16.406,57.81
73,12,17.446,53.03
74,13,17.397,54.29
75,10,16.234,58.32
76,14,15.907,58.29
77,11,18.174,50.94
78,11,16.589,56.99
79,11,16.393,57.78
80,11,19.234,48.55
81,9,17.173,55.51
82,11,16.593,57.00
83,12,16.183,58.06
84,12,17.055,54.29
85,11,16.395,57.71
86,14,17.441,53.89
87,15,16.367,56.78
88,14,16.466,56.58
89,15,16.896,55.12
90,14,16.580,56.32
91,18,16.852,54.91
92,15,17.388,53.82
93,16,17.134,54.49
94,15,21.238,43.50
95,15,17.004,55.04
96,16,19.540,46.50
97,14,17.279,53.67
98,14,16.760,55.94
99,14,16.342,57.27
100,14,16.773,55.77
101,14,16.903,54.81
102,14,16.546,56.71
103,13,26.984,35.46
104,15,16.951,54.87
105,14,16.566,56.25
106,13,19.174,49.20
107,12,16.237,57.88
108,10,16.342,58.25
109,12,18.025,52.22
110,12,19.787,47.70
111,12,18.534,50.85
112,14,17.994,52.38
113,11,16.962,55.90
114,13,15.823,59.06
115,11,16.535,57.26
116,10,16.302,58.17
117,10,16.626,57.30
118,10,16.339,58.17
119,14,16.559,56.32
120,13,15.961,58.59
121,15,17.070,53.95
122,15,17.058,54.89
123,12,19.321,48.72
124,14,16.165,57.88
125,17,16.538,55.79
126,15,17.063,54.86
127,13,15.622,59.97
128,14,16.590,56.59
129,14,16.307,57.12
130,14,16.670,56.00
131,12,16.440,57.41
132,9,16.282,58.58
133,11,15.810,59.58
134,12,16.297,57.77
135,13,16.863,55.03
136,15,16.126,57.65
137,12,16.563,56.92
138,13,15.758,59.41
139,13,20.230,45.86
140,9,16.301,58.53
141,11,16.370,57.76
142,14,16.481,56.79
143,10,15.675,60.20
144,12,16.674,56.56
145,13,16.142,58.12
146,16,15.734,58.96
147,14,16.143,54.96
148,12,16.093,58.56
149,14,16.191,57.69
150,14,15.262,60.57
151,12,15.710,59.92
152,15,16.006,57.96
153,13,16.536,56.84
154,12,16.183,58.26
155,13,16.549,56.84
156,14,16.374,57.06
157,13,16.029,58.20
158,12,16.714,56.14
159,13,16.542,56.74
160,15,16.870,55.35
161,13,16.282,56.16
162,14,16.075,57.84
163,13,16.795,55.88
164,13,16.373,57.40
165,13,15.845,58.90
166,14,15.997,58.20
167,11,15.735,59.82
168,11,16.429,57.60
169,14,15.654,59.41
170,14,16.390,57.12
171,14,18.078,52.13
172,15,17.355,53.77
173,13,16.385,57.33
174,13,15.817,59.26
175,11,16.376,57.38
176,10,15.829,59.83
177,9,20.864,46.19
178,12,15.466,60.72
179,13,19.944,47.08
180,12,15.968,58.80
181,13,15.937,58.47
182,13,15.523,60.22
183,11,16.096,58.84
184,10,18.301,51.08
185,10,15.497,61.10
186,11,16.114,58.48
187,11,16.478,57.60
188,10,16.858,55.91
189,11,16.078,58.24
190,13,15.865,59.08
191,14,16.925,55.22
192,14,16.751,55.52
193,13,27.617,32.44
194,14,36.909,26.13
195,14,26.206,36.54
196,11,15.967,58.87
197,11,16.168,58.35
198,13,17.314,54.38
199,13,16.428,56.77
