dataset,seq,frames,dets,dets/frame,seconds
mot20,MOT20-01,429,36412,84.88,21.0
mot20,MOT20-02,2782,263149,94.59,136.0
mot20,MOT20-03,2405,394705,164.12,107.9
mot20,MOT20-05,3315,901464,271.93,169.5
dancetrack,dancetrack0004,1203,6450,5.36,52.5
dancetrack,dancetrack0005,1203,5981,4.97,53.0
dancetrack,dancetrack0007,1203,11185,9.3,54.6
dancetrack,dancetrack0010,1203,7806,6.49,55.8
dancetrack,dancetrack0014,1203,21453,17.83,53.5
dancetrack,dancetrack0018,503,4364,8.68,22.5
dancetrack,dancetrack0019,2402,30741,12.8,94.7
dancetrack,dancetrack0025,803,12779,15.91,31.8
dancetrack,dancetrack0026,302,11883,39.35,12.2
dancetrack,dancetrack0030,1263,14710,11.65,55.6
dancetrack,dancetrack0034,923,16932,18.34,41.0
dancetrack,dancetrack0035,703,8411,11.96,32.5
dancetrack,dancetrack0041,1003,34115,34.01,36.0
dancetrack,dancetrack0043,183,3049,16.66,7.5
dancetrack,dancetrack0047,1203,19829,16.48,39.0
dancetrack,dancetrack0058,1601,12785,7.99,69.0
dancetrack,dancetrack0063,1000,16522,16.52,45.9
dancetrack,dancetrack0065,702,7984,11.37,33.4
dancetrack,dancetrack0073,703,12389,17.62,31.4
dancetrack,dancetrack0077,1203,16758,13.93,53.8
dancetrack,dancetrack0079,1202,24332,20.24,53.5
dancetrack,dancetrack0081,984,26588,27.02,40.1
dancetrack,dancetrack0090,1004,18763,18.69,45.1
dancetrack,dancetrack0094,603,17877,29.65,27.3
dancetrack,dancetrack0097,1203,5415,4.5,53.3
