seq,tracker,config,GT_TOTAL,Pred_TOTAL,MAE,Error_Pct,Over_Count,Under_Count
MOT20-01,ocsort,A1_naive_no_roi,10,9,1,10.0,0,1
MOT20-01,ocsort,A2_naive_roi05,10,9,1,10.0,0,1
MOT20-01,ocsort,A3_naive_roi10,10,8,2,20.0,0,2
MOT20-01,ocsort,B1_sm30_no_roi,10,9,1,10.0,0,1
MOT20-01,ocsort,B2_sm30_roi05,10,9,1,10.0,0,1
MOT20-01,ocsort,B3_sm30_roi10,10,8,2,20.0,0,2
MOT20-01,deepocsort,A1_naive_no_roi,10,9,1,10.0,0,1
MOT20-01,deepocsort,A2_naive_roi05,10,9,1,10.0,0,1
MOT20-01,deepocsort,A3_naive_roi10,10,8,2,20.0,0,2
MOT20-01,deepocsort,B1_sm30_no_roi,10,9,1,10.0,0,1
MOT20-01,deepocsort,B2_sm30_roi05,10,9,1,10.0,0,1
MOT20-01,deepocsort,B3_sm30_roi10,10,8,2,20.0,0,2
MOT20-01,diffmot,A1_naive_no_roi,10,9,1,10.0,0,1
MOT20-01,diffmot,A2_naive_roi05,10,9,1,10.0,0,1
MOT20-01,diffmot,A3_naive_roi10,10,8,2,20.0,0,2
MOT20-01,diffmot,B1_sm30_no_roi,10,9,1,10.0,0,1
MOT20-01,diffmot,B2_sm30_roi05,10,9,1,10.0,0,1
MOT20-01,diffmot,B3_sm30_roi10,10,8,2,20.0,0,2
MOT20-01,lighttrack,A1_naive_no_roi,10,9,1,10.0,0,1
MOT20-01,lighttrack,A2_naive_roi05,10,9,1,10.0,0,1
MOT20-01,lighttrack,A3_naive_roi10,10,8,2,20.0,0,2
MOT20-01,lighttrack,B1_sm30_no_roi,10,9,1,10.0,0,1
MOT20-01,lighttrack,B2_sm30_roi05,10,9,1,10.0,0,1
MOT20-01,lighttrack,B3_sm30_roi10,10,8,2,20.0,0,2
MOT20-02,ocsort,A1_naive_no_roi,197,231,34,17.26,34,0
MOT20-02,ocsort,A2_naive_roi05,197,231,34,17.26,34,0
MOT20-02,ocsort,A3_naive_roi10,197,227,30,15.23,30,0
MOT20-02,ocsort,B1_sm30_no_roi,197,165,32,16.24,0,32
MOT20-02,ocsort,B2_sm30_roi05,197,165,32,16.24,0,32
MOT20-02,ocsort,B3_sm30_roi10,197,161,36,18.27,0,36
MOT20-02,deepocsort,A1_naive_no_roi,197,204,7,3.55,7,0
MOT20-02,deepocsort,A2_naive_roi05,197,204,7,3.55,7,0
MOT20-02,deepocsort,A3_naive_roi10,197,200,3,1.52,3,0
MOT20-02,deepocsort,B1_sm30_no_roi,197,154,43,21.83,0,43
MOT20-02,deepocsort,B2_sm30_roi05,197,154,43,21.83,0,43
MOT20-02,deepocsort,B3_sm30_roi10,197,150,47,23.86,0,47
MOT20-02,diffmot,A1_naive_no_roi,197,237,40,20.3,40,0
MOT20-02,diffmot,A2_naive_roi05,197,237,40,20.3,40,0
MOT20-02,diffmot,A3_naive_roi10,197,233,36,18.27,36,0
MOT20-02,diffmot,B1_sm30_no_roi,197,169,28,14.21,0,28
MOT20-02,diffmot,B2_sm30_roi05,197,169,28,14.21,0,28
MOT20-02,diffmot,B3_sm30_roi10,197,165,32,16.24,0,32
MOT20-02,lighttrack,A1_naive_no_roi,197,268,71,36.04,71,0
MOT20-02,lighttrack,A2_naive_roi05,197,268,71,36.04,71,0
MOT20-02,lighttrack,A3_naive_roi10,197,264,67,34.01,67,0
MOT20-02,lighttrack,B1_sm30_no_roi,197,199,2,1.02,2,0
MOT20-02,lighttrack,B2_sm30_roi05,197,199,2,1.02,2,0
MOT20-02,lighttrack,B3_sm30_roi10,197,195,2,1.02,0,2
