cooldown_frames,tracker,avg_gt,avg_pred,mae,error_pct,bias,behavior
0,deepocsort,44.62,68.17,23.69,101.99,23.55,Overcounting Parah
0,ocsort,44.62,74.17,29.62,120.4,29.55,Overcounting Parah
0,diffmot,44.62,71.9,27.41,88.66,27.28,Overcounting Parah
0,ground_truth,44.62,56.55,11.93,60.6,11.93,Overcounting Sedang
5,deepocsort,44.62,51.93,10.14,47.74,7.31,Overcounting Sedang
5,ocsort,44.62,56.07,12.9,57.83,11.45,Overcounting Sedang
5,diffmot,44.62,52.72,9.83,37.03,8.1,Overcounting Sedang
5,ground_truth,44.62,51.0,6.38,31.78,6.38,Overcounting Sedang
10,deepocsort,44.62,48.0,8.55,35.88,3.38,Optimal Seimbang
10,ocsort,44.62,50.93,9.55,42.01,6.31,Overcounting Sedang
10,diffmot,44.62,47.55,5.97,22.88,2.93,Optimal Seimbang
10,ground_truth,44.62,48.72,4.1,20.1,4.1,Optimal Seimbang
15,deepocsort,44.62,45.79,7.52,27.13,1.17,Optimal Seimbang
15,ocsort,44.62,48.59,7.9,32.72,3.97,Optimal Seimbang
15,diffmot,44.62,44.66,4.45,15.42,0.03,Optimal Seimbang
15,ground_truth,44.62,47.21,2.59,12.88,2.59,Optimal Seimbang
20,deepocsort,44.62,44.45,6.79,21.93,-0.17,Optimal Seimbang
20,ocsort,44.62,46.97,7.17,27.79,2.34,Optimal Seimbang
20,diffmot,44.62,42.97,4.21,14.15,-1.66,Optimal Seimbang
20,ground_truth,44.62,46.1,1.48,7.09,1.48,Optimal Seimbang
30,deepocsort,44.62,42.28,6.34,16.71,-2.34,Optimal Seimbang
30,ocsort,44.62,45.0,6.66,22.38,0.38,Optimal Seimbang
30,diffmot,44.62,41.03,4.41,13.08,-3.59,Undercounting
30,ground_truth,44.62,44.62,0.0,0.0,0.0,Optimal Seimbang
45,deepocsort,44.62,40.24,6.59,14.64,-4.38,Undercounting
45,ocsort,44.62,42.34,6.0,15.18,-2.28,Optimal Seimbang
45,diffmot,44.62,38.79,6.03,16.81,-5.83,Undercounting
45,ground_truth,44.62,42.45,2.17,7.63,-2.17,Optimal Seimbang
60,deepocsort,44.62,39.0,7.21,16.11,-5.62,Undercounting
60,ocsort,44.62,40.97,6.34,14.39,-3.66,Undercounting
60,diffmot,44.62,37.45,7.31,21.45,-7.17,Undercounting
60,ground_truth,44.62,41.17,3.45,13.68,-3.45,Undercounting
90,deepocsort,44.62,37.03,8.62,20.94,-7.59,Undercounting
90,ocsort,44.62,38.52,7.21,14.78,-6.1,Undercounting
90,diffmot,44.62,35.03,9.66,29.88,-9.59,Undercounting
90,ground_truth,44.62,39.07,5.55,21.99,-5.55,Undercounting
120,deepocsort,44.62,36.21,9.45,23.96,-8.41,Undercounting
120,ocsort,44.62,37.31,7.93,17.2,-7.31,Undercounting
120,diffmot,44.62,33.66,10.97,35.68,-10.97,Undercounting
120,ground_truth,44.62,37.34,7.28,28.7,-7.28,Undercounting
