frame,num_detections,num_tracks,latency_prep_ms,latency_det_ms,latency_trk_ms,latency_cnt_ms,latency_total_ms,fps_instant
1,16,15,1.4086,53.8961,43.0892,0.1305,98.5244,10.149770006211659
2,16,12,3.032,75.912,44.6115,0.0981,123.6536,8.087107856140056
3,17,14,1.3854,67.5253,41.2442,0.1507,110.3056,9.065722864478323
4,25,15,1.6832,58.5096,65.9569,0.1115,126.2612,7.920089465330601
5,27,17,1.2036,40.4745,52.828,0.1241,94.6302,10.567450982878615
6,26,23,1.2296,40.5447,64.4509,0.1721,106.3973,9.398734742328987
7,25,25,1.2298,43.4625,57.985,0.1858,102.8631,9.721659176128272
8,28,23,1.6809,34.0338,50.8264,0.1654,86.7065,11.533160720361218
9,25,23,1.2273,33.1891,48.5929,0.1774,83.1867,12.021152419797875
10,19,23,1.2315,33.8368,33.2679,0.1717,68.50789999999999,14.596856712875452
11,22,19,1.3617,40.0483,49.9764,0.1468,91.5332,10.924997705750483
12,21,17,1.8878,35.2735,35.3825,1.0638,73.6076,13.58555366565409
13,18,17,1.2927,36.7437,33.2069,0.1314,71.3747,14.010566769457524
14,19,18,1.2614,49.6966,31.343,0.1345,82.4355,12.130696119996845
15,13,18,1.2122,35.1374,25.864,0.1428,62.3564,16.036846257962296
16,12,13,1.2276,34.0937,20.5942,0.1096,56.0251,17.84914261643442
17,19,11,1.2288,36.0135,32.1671,0.0947,69.50410000000001,14.387640441355256
18,20,12,1.2614,38.2826,38.3045,0.1074,77.9559,12.827765441743345
19,14,12,1.2225,38.326,26.0365,0.1092,65.6942,15.222043955174126
20,17,13,1.6813,42.3855,31.5518,0.1071,75.7257,13.205556369898197
21,18,13,1.3505,34.8077,34.435,0.1041,70.6973,14.144811753772775
22,19,15,1.2435,39.8508,33.5716,0.1211,74.78699999999999,13.371307847620578
23,19,14,1.2173,38.0213,33.8376,0.1217,73.1979,13.66159411677111
24,23,15,1.2236,37.5072,42.1619,0.1871,81.07979999999999,12.333528203078943
25,21,17,1.304,37.9772,42.9888,1.0765,83.3465,11.998104299520675
26,16,18,1.8617,37.0884,29.6256,0.1409,68.7166,14.55252442641225
27,19,14,1.243,35.2544,34.0832,0.1108,70.6914,14.145992298921792
28,19,14,1.8799,34.5028,33.4435,0.1155,69.9417,14.297622162458163
29,20,15,1.2164,38.2492,38.5743,0.1184,78.1583,12.794546452520079
30,23,16,1.2574,33.9079,39.3264,0.1264,74.6181,13.40157414889953
31,25,19,1.23,33.8136,44.5081,0.1429,79.6946,12.547901614413023
32,21,21,1.2289,38.1325,37.3002,0.154,76.81559999999999,13.018189013689929
33,19,19,1.2216,34.2942,34.2555,0.1391,69.9104,14.304023435711997
34,17,17,1.2407,33.8757,29.6503,0.1331,64.8998,15.408367976480667
35,22,16,1.4902,107.9274,64.9347,0.1464,174.4987,5.730701718694752
36,23,17,1.2637,35.3477,42.8171,0.1617,79.59020000000001,12.564360938909562
37,20,19,1.2174,35.3149,33.4272,0.1582,70.11769999999999,14.261734198355054
38,20,18,1.5672,34.357,35.9848,0.1445,72.05349999999999,13.878576335639494
39,20,18,1.2221,34.0468,34.6647,0.153,70.0866,14.268062653916726
40,21,19,1.3173,36.8409,40.7461,0.1523,79.0566,12.649165281583068
41,22,18,1.2122,34.7171,42.1031,0.1702,78.20259999999999,12.787298632014794
42,19,19,1.2458,39.3706,33.8015,0.1543,74.57220000000001,13.409822963517234
43,19,16,1.2299,34.3681,46.086,0.1339,81.8179,12.222264321132663
44,19,17,1.2232,34.2225,32.4894,0.1349,68.07000000000001,14.690759512266782
45,18,17,1.237,35.8256,38.3061,0.1252,75.49390000000001,13.246103327553614
46,17,16,1.2533,42.7489,42.1253,0.1213,86.2488,11.5943642114441
47,19,15,1.9676,63.8303,45.9107,0.4375,112.14609999999999,8.916939599326238
48,22,15,1.1925,61.5235,41.3045,0.1261,104.14659999999999,9.601849700326271
49,23,17,1.4657,34.5789,40.7267,0.1559,76.9272,12.999303237346478
50,19,18,1.4615,44.2081,37.7035,0.1486,83.5217,11.972936374618813
