frame,num_detections,num_tracks,latency_prep_ms,latency_det_ms,latency_trk_ms,latency_cnt_ms,latency_total_ms,fps_instant
1,16,12,1.2344,26.9106,2.1205,0.1235,30.389,32.906643851393596
2,16,12,1.2492,25.4388,2.4169,0.1006,29.2055,34.24012600366369
3,17,18,1.2509,27.2254,2.2426,0.1427,30.861600000000003,32.402727013505455
4,25,17,1.2408,26.007,2.6938,0.126,30.067600000000002,33.25839109207253
5,27,21,1.2298,25.6699,2.5859,0.1556,29.641199999999998,33.736825769537
6,26,35,1.2614,25.2761,2.7301,0.2567,29.5243,33.870405056174064
7,25,27,1.2768,25.763,2.6002,0.1844,29.824400000000004,33.529593218975066
8,28,22,1.2595,24.8211,2.8673,0.1621,29.11,34.35245620061834
9,25,22,1.3125,27.7057,2.5931,0.2281,31.8394,31.407627028147513
10,19,24,1.2574,26.4742,8.1295,0.4586,36.3197,27.533267069937253
11,22,17,1.3635,67.8663,2.9385,0.1562,72.3245,13.826573291208373
12,21,15,1.8589,45.2713,2.4418,0.1234,49.69539999999999,20.12258679877816
13,18,19,1.3539,28.4945,3.2131,0.1559,33.2174,30.10470416107221
14,19,24,1.2585,27.7032,2.3921,0.1683,31.5221,31.72377474850978
15,13,13,1.2603,26.738,2.1409,0.1426,30.2818,33.02313600908796
16,12,11,1.25,25.9705,2.2706,0.1054,29.596500000000002,33.78777896035004
17,19,11,1.2309,26.5316,2.4324,0.097,30.291900000000005,33.01212535364239
18,20,14,1.2499,25.9353,2.6143,0.1233,29.922800000000002,33.41933241541567
19,14,11,1.2297,26.6326,2.1582,0.1003,30.120800000000003,33.19964941170221
20,17,16,1.2617,25.9453,2.689,0.1291,30.025100000000002,33.30546775864193
21,18,15,1.2603,28.3331,2.7098,0.1179,32.4211,30.844110779708274
22,19,18,1.2342,28.3857,2.6327,0.14,32.3926,30.871248371541647
23,19,14,1.254,27.4922,3.347,0.1226,32.2158,31.040669485159455
24,23,19,1.2799,33.3434,2.6327,0.1374,37.3934,26.742687212181828
25,21,18,1.258,26.8098,2.9739,0.1416,31.1833,32.068446893048524
26,16,16,1.2461,27.0715,2.2683,0.1281,30.714,32.55844240411539
27,19,12,1.4098,26.9635,2.5207,0.0988,30.992800000000003,32.26555845228569
28,19,18,1.2772,26.8346,2.3583,0.1539,30.624,32.65412748171369
29,20,12,1.2336,27.9075,2.3758,0.1005,31.6174,31.628154117669386
30,23,24,1.2409,28.0967,2.7809,0.1853,32.303799999999995,30.956110426637117
31,25,25,1.2496,29.7186,2.857,0.1891,34.014300000000006,29.39939966425885
32,21,22,2.1899,34.7142,2.5541,0.3875,39.8457,25.096810948232807
33,19,19,1.2401,31.8024,2.934,0.2635,36.239999999999995,27.593818984547465
34,17,15,1.3481,30.2879,2.2982,0.1389,34.0731,29.348665075969024
35,22,18,2.0202,26.8485,2.6128,0.1557,31.6372,31.60835977899435
36,23,19,1.2796,28.6287,2.5316,0.1736,32.613499999999995,30.662149110031127
37,20,22,1.6458,27.2537,2.4021,0.1795,31.4811,31.765090800512052
38,20,20,1.2482,26.213,2.3741,0.1603,29.9956,33.33822293936444
39,20,17,1.2498,24.6472,2.3491,0.1457,28.391800000000003,35.2214371755225
40,21,22,1.2774,25.5253,2.5751,0.1659,29.5437,33.8481639063489
41,22,18,1.2399,25.8646,2.4901,0.1522,29.7468,33.61706133096669
42,19,18,1.3021,25.8831,2.5515,0.1629,29.8996,33.44526348178571
43,19,19,1.265,26.4301,2.41,0.1589,30.264,33.042558815754695
44,19,15,1.3274,25.7495,2.3961,0.1363,29.6093,33.77317261806257
45,18,20,1.2657,25.569,2.4626,0.1551,29.4524,33.95309041028914
46,17,14,1.2423,27.8812,2.4386,0.1128,31.6749,31.570738976287217
47,19,15,1.3353,27.1137,3.0313,0.1199,31.6002,31.645369333105485
48,22,19,1.2551,26.0848,2.494,0.1602,29.9941,33.33989017840175
49,23,21,1.2627,27.2491,2.5552,0.1638,31.230799999999995,32.01967288702179
50,19,19,1.2423,27.7829,2.4331,0.1487,31.607000000000003,31.63856107824216
