epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,92.2498,1.66711,1.36858,1.45084,0.72574,0.51859,0.60623,0.30232,1.69654,1.07143,1.50464,0.00997868,0.00332623,0.00997868,0.00332623,0.00997868,0.00332623,0.00997868,0.00332623
2,178.707,1.57809,1.06504,1.36217,0.75263,0.57414,0.66825,0.34444,1.64074,0.99914,1.45718,0.0197809,0.00659363,0.0197809,0.00659363,0.0197809,0.00659363,0.0197809,0.00659363
3,273.389,1.6139,1.07943,1.38776,0.72194,0.54554,0.62457,0.30831,1.73295,1.17411,1.58778,0.0293851,0.00979503,0.0293851,0.00979503,0.0293851,0.00979503,0.0293851,0.00979503
4,358.855,1.62192,1.08244,1.4063,0.74015,0.56311,0.65143,0.32649,1.68197,1.06541,1.55818,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,432.208,1.58799,1.04208,1.38689,0.75512,0.59069,0.6831,0.35359,1.64795,0.97441,1.49836,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,507.906,1.5574,1.01344,1.36604,0.7699,0.5978,0.69117,0.36005,1.61048,0.93602,1.47565,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,575.633,1.53636,0.98828,1.35369,0.77591,0.61947,0.70867,0.37177,1.58586,0.91878,1.46973,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,648.01,1.51857,0.97076,1.3394,0.77997,0.60899,0.70593,0.37856,1.56477,0.91171,1.45936,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,718.079,1.50754,0.96208,1.33268,0.78696,0.62619,0.72391,0.38841,1.54792,0.88772,1.44641,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,788.347,1.49165,0.94894,1.32368,0.78798,0.63059,0.72432,0.3896,1.54727,0.89179,1.44298,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,857.338,1.48535,0.94544,1.31915,0.79304,0.63607,0.72723,0.38751,1.53925,0.89049,1.437,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,923.088,1.47808,0.93043,1.31337,0.80151,0.63354,0.73169,0.39522,1.52837,0.85651,1.42506,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,992.14,1.47203,0.92551,1.30629,0.79975,0.64388,0.73767,0.40041,1.51576,0.85432,1.42403,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1067.98,1.46532,0.91919,1.30315,0.80191,0.64121,0.73798,0.40027,1.51453,0.84803,1.42819,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1133.43,1.45735,0.91038,1.29608,0.79787,0.63947,0.73555,0.39944,1.50977,0.85155,1.42158,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1200.48,1.45238,0.90838,1.29504,0.79896,0.6547,0.74286,0.40705,1.50092,0.86212,1.4193,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1269.46,1.44699,0.90144,1.29132,0.80462,0.65324,0.74577,0.40776,1.4968,0.82482,1.41729,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1335.3,1.43979,0.8992,1.28861,0.8075,0.65506,0.74987,0.41184,1.48632,0.82934,1.40751,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1399.79,1.43427,0.89334,1.28388,0.80765,0.65328,0.75001,0.41353,1.47721,0.81318,1.41565,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1467.34,1.43484,0.88819,1.27741,0.81273,0.65767,0.75273,0.41614,1.47638,0.80625,1.40401,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1540.17,1.4313,0.8845,1.27827,0.80721,0.66207,0.75583,0.41819,1.4704,0.81536,1.39172,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1606.7,1.42371,0.88208,1.27446,0.81091,0.66227,0.75568,0.41682,1.47588,0.80643,1.40329,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1679.11,1.42301,0.87697,1.2743,0.81446,0.66539,0.75793,0.41982,1.46412,0.80641,1.39732,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1750.12,1.41805,0.87493,1.26872,0.81415,0.66366,0.7586,0.42268,1.46149,0.81012,1.38827,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1822.43,1.41483,0.87345,1.27135,0.81545,0.66937,0.76256,0.42474,1.45196,0.80104,1.40901,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1889.29,1.40965,0.86929,1.26815,0.81953,0.66936,0.76262,0.4247,1.46032,0.78586,1.40465,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1969.57,1.41112,0.86826,1.2665,0.81813,0.66893,0.76372,0.42578,1.45668,0.78894,1.40032,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2039.51,1.40968,0.86456,1.26477,0.81736,0.67633,0.76564,0.42791,1.44561,0.79523,1.39315,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,2114.85,1.40147,0.85959,1.25955,0.81829,0.67582,0.76744,0.42856,1.44859,0.79164,1.39909,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,2186.12,1.40425,0.86261,1.26258,0.81962,0.67412,0.76703,0.42883,1.44067,0.7849,1.39223,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,2261.2,1.40261,0.86004,1.25844,0.82131,0.67643,0.76874,0.4299,1.43991,0.7748,1.39448,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
