epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,88.1167,1.83939,2.06956,0.01072,0.63269,0.5153,0.57457,0.2875,1.70291,1.51441,0.01502,0.00997868,0.00332623,0.00997868,0.00332623,0.00997868,0.00332623,0.00997868,0.00332623
2,170.968,1.71361,1.45737,0.00956,0.69145,0.56586,0.64418,0.33455,1.69486,1.32121,0.01482,0.0197809,0.00659363,0.0197809,0.00659363,0.0197809,0.00659363,0.0197809,0.00659363
3,252.955,1.74333,1.38794,0.00967,0.69545,0.5533,0.63403,0.32265,1.7728,1.3383,0.01594,0.0293851,0.00979503,0.0293851,0.00979503,0.0293851,0.00979503,0.0293851,0.00979503
4,334.411,1.75541,1.36899,0.00984,0.70943,0.54794,0.63426,0.31889,1.78941,1.33027,0.01617,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,415.832,1.7443,1.33494,0.00965,0.72138,0.58774,0.67095,0.34824,1.75592,1.25838,0.01559,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,497.166,1.72848,1.3012,0.00958,0.75029,0.60108,0.6913,0.3612,1.72071,1.22793,0.01493,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,578.691,1.71234,1.27971,0.00941,0.74379,0.60063,0.69117,0.36817,1.69338,1.23266,0.01497,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,660.173,1.7041,1.25757,0.0093,0.74674,0.5825,0.67655,0.35228,1.75893,1.24499,0.01542,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,741.701,1.69663,1.25116,0.00924,0.75184,0.60569,0.69844,0.3698,1.69153,1.21191,0.01473,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,822.89,1.68376,1.23671,0.00919,0.76768,0.6211,0.71286,0.38472,1.66972,1.14707,0.01471,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,904.142,1.6753,1.22699,0.00918,0.76432,0.61665,0.70908,0.38146,1.67806,1.14035,0.01459,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,985.483,1.66832,1.21403,0.00907,0.77247,0.62034,0.71681,0.38257,1.69402,1.12577,0.0148,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1069.88,1.67042,1.20669,0.009,0.77356,0.63142,0.72587,0.39562,1.65295,1.11722,0.01439,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1153.97,1.65849,1.20151,0.00896,0.77048,0.62381,0.71736,0.39257,1.64343,1.11224,0.01427,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1237.12,1.65873,1.19067,0.00893,0.77787,0.63223,0.72723,0.39791,1.65316,1.09313,0.01428,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1319.39,1.65197,1.18426,0.0089,0.77931,0.6349,0.72767,0.3979,1.64052,1.09499,0.01429,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1401.5,1.64848,1.18044,0.00886,0.78229,0.63911,0.73301,0.40375,1.63075,1.08826,0.01422,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1483.36,1.64349,1.17434,0.00887,0.78555,0.63723,0.7361,0.4061,1.63952,1.09475,0.01425,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1565.76,1.63991,1.16645,0.00879,0.78959,0.64145,0.74026,0.40914,1.63199,1.06995,0.01409,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1647.9,1.64344,1.16117,0.00866,0.79175,0.64999,0.74568,0.41551,1.61497,1.05364,0.01399,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1729.72,1.63864,1.15712,0.0087,0.79363,0.64892,0.74538,0.41508,1.6044,1.08234,0.01382,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1811.69,1.62787,1.15483,0.00874,0.79426,0.64061,0.74062,0.41366,1.60778,1.06131,0.01381,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1893.91,1.62886,1.14592,0.00869,0.79791,0.65146,0.747,0.41632,1.60577,1.05296,0.0138,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1976.01,1.62664,1.14162,0.00863,0.79572,0.65501,0.75148,0.42157,1.60509,1.03757,0.01391,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2057.75,1.61936,1.14356,0.00867,0.7901,0.65515,0.74806,0.41685,1.60568,1.0469,0.01379,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2141.41,1.61566,1.13817,0.00861,0.7995,0.65602,0.75115,0.41908,1.60184,1.03568,0.01371,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2224.48,1.62039,1.13406,0.00861,0.80499,0.65198,0.75293,0.42322,1.59086,1.02376,0.01371,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
