epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,179.854,1.75266,1.26737,0.00999,0.79156,0.64478,0.74094,0.41115,1.61036,1.04284,0.01408,0.00997868,0.00332623,0.00997868,0.00332623,0.00997868,0.00332623,0.00997868,0.00332623
2,346.625,1.60468,1.12797,0.00879,0.7917,0.66077,0.74995,0.42362,1.58746,1.01561,0.01392,0.0197809,0.00659363,0.0197809,0.00659363,0.0197809,0.00659363,0.0197809,0.00659363
3,501.258,1.62999,1.16392,0.00891,0.76347,0.63703,0.72275,0.39209,1.64425,1.11867,0.0146,0.0293851,0.00979503,0.0293851,0.00979503,0.0293851,0.00979503,0.0293851,0.00979503
4,653.076,1.65127,1.19374,0.00913,0.77379,0.63019,0.71985,0.38757,1.67438,1.1015,0.01493,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,797.847,1.63611,1.17425,0.00894,0.77299,0.65472,0.74306,0.41149,1.63176,1.05554,0.01428,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,954.999,1.61533,1.14866,0.00882,0.77808,0.65403,0.73932,0.40515,1.6421,1.09626,0.01433,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1118.73,1.59942,1.12841,0.00865,0.79568,0.65526,0.75135,0.42009,1.60834,1.03288,0.01411,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1285.15,1.5879,1.11023,0.0085,0.78981,0.65797,0.74736,0.42709,1.59151,1.03119,0.01389,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1461.8,1.58042,1.10398,0.00845,0.79142,0.67562,0.76467,0.43569,1.57024,1.01627,0.01369,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1655.19,1.56796,1.08928,0.00841,0.79818,0.6736,0.764,0.43398,1.56945,1.00724,0.01371,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1823.6,1.55999,1.08222,0.00839,0.79854,0.67309,0.76338,0.43799,1.55004,0.98575,0.01363,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1987.8,1.54976,1.06668,0.00825,0.79878,0.68188,0.76828,0.4393,1.55994,0.97855,0.01358,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2162.8,1.55183,1.0601,0.0082,0.81022,0.68052,0.77642,0.4492,1.53606,0.98516,0.01335,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2353.7,1.54034,1.05027,0.00816,0.80841,0.68709,0.77726,0.44901,1.55302,0.94569,0.01336,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2520.83,1.53984,1.03958,0.00811,0.80815,0.69637,0.78618,0.45732,1.53179,0.93829,0.01326,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2666.18,1.53136,1.03715,0.00808,0.80868,0.68979,0.779,0.45292,1.52239,0.96196,0.01318,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2819.4,1.52647,1.02812,0.00803,0.81046,0.69767,0.78808,0.45987,1.51428,0.94432,0.0132,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2975.17,1.51896,1.02382,0.00801,0.81649,0.69984,0.78695,0.45468,1.53796,0.92735,0.01324,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3138.57,1.51607,1.01365,0.00794,0.82066,0.70277,0.793,0.46539,1.51114,0.92446,0.01309,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3317.08,1.51948,1.00847,0.00784,0.818,0.70486,0.79404,0.46849,1.49689,0.91532,0.01303,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3489.22,1.5142,1.00547,0.00787,0.82155,0.70269,0.79423,0.46501,1.50262,0.90644,0.01297,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3651.93,1.50526,0.99817,0.0079,0.82645,0.70696,0.8005,0.47365,1.49772,0.89632,0.01296,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3823.58,1.50371,0.99719,0.00784,0.82205,0.71221,0.79982,0.46874,1.49359,0.90451,0.01287,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4005.93,1.49859,0.99113,0.00776,0.82362,0.7117,0.80043,0.47289,1.48969,0.89194,0.01289,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,4190.47,1.49628,0.98448,0.00783,0.82094,0.71479,0.80171,0.47379,1.48694,0.88144,0.01285,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,4361.95,1.4912,0.98107,0.00776,0.82546,0.71556,0.8039,0.475,1.48548,0.88233,0.01281,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,4558.03,1.49576,0.97513,0.00775,0.83006,0.71774,0.80697,0.47935,1.48701,0.86895,0.01284,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,4744.64,1.49242,0.97167,0.00767,0.82681,0.71614,0.80458,0.47908,1.47796,0.88856,0.01272,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,4929.52,1.48402,0.96568,0.00763,0.82948,0.72031,0.80824,0.48122,1.47787,0.87365,0.0127,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
